objectid,title,creator,date,description,subject,location,latitude,longitude,source,type,format,language,display_template,object_location,image_small,image_thumb
Tightrope,"Henry Bellini, tightrope walker, prepares to fall into the waters below the Falls","Curtis, George E.",1873,A photograph by George E. Curtis with no caption. This photograph is of Henry Bellini preparing to fall into the waters below the Falls.,niagarafalls;niagara;tourism;tightrope,"Niagara Falls, Canada",43.088,-79.071,"George E. Curtis Photographs of Niagara Falls collection, ca1860s-1870s RG 703",Image;StillImage,image/jpg,en,image,/objects/Tightrope.jpg,/objects/small/tightrope.jpg,/objects/thumbs/Tightrope.jpg
Tightrope2,Dixon crossing Niagara,"Underwood & Underwood; Barker, George",1895,"The description reads ""(15) Dixon crossing Niagara below the Great Cantilever Bridge, U.S.A."".",niagarafalls;niagara;tourism,"Niagara Falls, Canada",43.088,-79.071,Niagara Falls Stereo Cards RG 599,Image;StillImage,image/jpg,en,image,/objects/Tightrope2.jpg,/objects/small/Tightrope2.jpg,/objects/thumbs/Tightrope2.jpg
MaidMist,"The Maid of the Mist in the Whirlpool Rapids, Niagara [ON]","Curtis, George E.",n.d.,"A photograph by George E. Curtis with the caption that reads: ""The Maid of the Mist in the Whirlpool Rapids Niagara"". The back of the image is numbered 47.",niagarafalls;niagara;tourism,"Niagara Falls, Canada",43.08,-79.05,"George E. Curtis Photographs of Niagara Falls collection, ca1860s-1870s RG 703",Image;StillImage,image/jpg,en,image,/object/MaidMist.jpg,/objects/small/MaidMist.jpg,/objects/thumbs/MaidMist.jpg
MaidMist2,"Maid of the Mist, Niagara Falls, U.S.A",Underwood & Underwood,1901,"The image is described as ""(5) 'Maid of the Mist' - Nymph of the mighty cataract, Niagara Falls, U.S.A"".",niagarafalls;niagara;tourism,"Niagara Falls, Canada",43.08,-79.05,Niagara Falls Stereo Cards RG 599,Image;StillImage,image/jpg,en,image,/objects/MaidMist2.jpg,/objects/small/MaidMist2.jpg,/objects/thumbs/MaidMist2.jpg
TableRock,Man standing on Table Rock in Winter,Clifton Hotel,n.d.,A glass stereo card featuring a man standing on Table Rock in the Winter. Clifton Hotel can be seen in the background.,niagarafalls;cliftonhotel,"Niagara Falls, Canada",43.08,-79.04,Niagara Falls Stereo Cards RG 599,Image;StillImage,image/jpg,en,image,/objects/TableRock.jpg,/objects/small/TableRock.jpg,/objects/thumbs/TableRock.jpg
FreeNiagara,"Free Niagara, Prospect Point","Zahner, M.H.",n.d.,"The description reads ""Free Niagara, Prospect Point, Niagara Falls"".",niagarafalls;niagara;tourism,"Niagara Falls, Canada",43.081,-79.06966567,Niagara Falls Stereo Cards RG 599,Image;StillImage,image/jpg,en,image,/objects/FreeNiagara.jpg,/objects/small/FreeNiagara.jpg,/objects/thumbs/FreeNiagara.jpg
ViewFalls,"View taken between the ice mountain and American Fall, Niagara","Curtis, George E.",n.d.,"A photograph by George E. Curtis with the caption that reads: ""View taken between the Ice Mountain and American Fall Niagara""/ The back of the image is numbered 96.",niagarafalls;niagara;tourism,"Niagara Falls, Canada",43.08,-79.05,"George E. Curtis Photographs of Niagara Falls collection, ca1860s-1870s RG 703",Image;StillImage,image/jpg,en,image,/objects/ViewFalls.jpg,/objects/small/ViewFalls.jpg,/objects/thumbs/ViewFalls.jpg
InclinedRailway,"The American Falls and Inclined Railway from the Ice Bridge, Niagara","Curtis, George E.",n.d.,"A photograph by George E. Curtis with the caption that reads: ""American Fall and Inclined Railway from the Ice Bridge, Niagara"". The back of the image is numbered 15.",niagarafalls;niagara;tourism;Railway,"Niagara Falls, Canada",43.08,-79.03,"George E. Curtis Photographs of Niagara Falls collection, ca1860s-1870s RG 703",Image;StillImage,image/jpg,en,image,/objects/InclinedRailway.jpg,/objects/small/InclinedRailway.jpg,/objects/thumbs/InclinedRailway.jpg
IceBridge,Frozen Niagara Falls,Keystone View Company,n.d.,The image is described in German. It appears to be Niagara Falls frozen in winter with many tourists and onlookers at the base.,niagarafalls;niagara;tourism;icebridge,"Niagara Falls, Canada",43.08,-79.03,Niagara Falls Stereo Cards RG 599,Image;StillImage,image/jpg,en,image,/objects/IceBridge.jpg,/objects/small/IceBridge.jpg,/objects/thumbs/IceBridge.jpg
FiveFigures,Five figures in 'Sunday Best' clothing at Prospect Point,"McPherson, J.",1861,A glass stereo card of five figures in 'Sunday Best' clothing at Prospect Point with the Canadian and American Falls in the background.,NiagaraFalls;ProspectPoint;Falls,"Niagara Falls, Canada",43.08,-79.07,Niagara Falls Stereo Cards RG 599,Image;StillImage,image/jpg,de,image,/objects/FiveFigures.jpg,/objects/small/FiveFigures.jpg,/objects/thumbs/FiveFigures.jpg
Indigenous,Five Indigenous people on Luna Island looking at American Falls,"Babbitt, Platt D.",1860,"A glass stereo card featuring five indigenous people on Luna Island looking at the American Falls. The photographer is Platt D. Babbitt, Niagara Falls",indigenous;people;niagara;falls,"Niagara Falls, Canada",43.08,-79.07,Niagara Falls Stereo Cards RG 599,Image;StillImage,image/jpg,en,image,/objects/Indigenous.jpg,/objects/small/Indigenous.jpg,/objects/thumbs/Indigenous.jpg
Ferry,"Ferry at the Falls, Niagara Falls, U.S.A.",n.a.,1851,"Ferry at the Falls, Niagara Falls, U.S.A. with Geo. W. Sims at the ferry on the American shore, 31 cm. x 18 cm., May 1851.",niagarafalls;poster,"Niagara Falls, Canada",43.08,-79.07,"Niagara Falls Handbill Collection, 1838-1886, n.d. RG 551",Image;Poster,image/jpg,en,image,/objects/Ferry,/objects/small/Ferry,/objects/thumbs/Ferry
Guide1,"Guide to the Whirlpool Rapids Park, Niagara Falls, Ontario",n.a.,n.d.,"Guide to the Whirlpool Rapids Park, Niagara Falls, Ontario 18 cm. x 12 ½ cm. newsprint. There is a piece missing from upper left hand corner which does not affect text, n.d",niagarafalls;poster,"Niagara Falls, Canada",43.08,-79.07,"Niagara Falls Handbill Collection, 1838-1886, n.d. RG 551",Image;Poster,image/jpg,en,image,/objects/Guide1,/objects/small/Guide1,/objects/thumbs/Guide1
Guide2,"Burning Springs, Niagara Falls, Ontario",n.a.,n.d.,"Burning Springs, Niagara Falls, Ontario with P.S. Clark listed as proprietor, 19 1/2 x 13 cm. There is some wear on the sides of the paper which does not affect text. There is also slight staining, n.d.",niagarafalls;poster,"Niagara Falls, Canada",43.08,-79.07,"Niagara Falls Handbill Collection, 1838-1886, n.d. RG 551",Image;Poster,image/jpg,en,image,/objects/Guide2,/objects/small/Guide2,/objects/thumbs/Guide2
Guide3,"Cave of the Winds, Goat Island, U.S.A.",n.a.,n.d.,"Cave of the Winds, Goat Island, U.S.A. This is touted as the only place on the globe where rainbows form an entire circle. Geo. W. Wright is listed as the lessee. 30 cm. x 14 cm. newsprint. There is a slight wearing away of the edges. This does not affect text, n.d.",niagarafalls;poster,"Niagara Falls, Canada",43.08,-79.07,"Niagara Falls Handbill Collection, 1838-1886, n.d. RG 551",Image;Poster,image/jpg,en,image,/objects/Guide3,/objects/small/Guide3,/objects/thumbs/Guide3
